分析項目,102年每日吸菸率(%),103年每日吸菸率(%),104年每日吸菸率(%),105年每日吸菸率(%),102年男性每日吸菸率(%),103年男性每日吸菸率(%),104年男性每日吸菸率(%),105年男性每日吸菸率(%),102年女性每日吸菸率(%),103年女性每日吸菸率(%),104年女性每日吸菸率(%),105年女性每日吸菸率(%)
整體,15.1506,13.9288,14.715,14.2517,28.1069,24.9421,25.6902,25.1168,2.1824,3.2298,3.5869,3.4492
教育別=21歲以上(不對外),17.3498,16.5472,17.0505,16.589,32.3492,29.3255,29.7689,29.7382,2.4814,3.7719,4.2882,3.9264
教育別=小學或以下,13.1831,9.4157,12.3226,10.3087,28.1755,19.876,25.0344,23.2068,0.7678,2.3275,2.6202,1.4461
教育別=初中、國中,24.1323,19.8767,25.1989,23.726,40.4649,32.1514,37.4278,36.5433,4.6107,6.1766,6.8487,6.7692
教育別=高中、高職,15.715,16.5068,15.0389,15.4683,27.3538,27.5109,24.8163,24.1944,3.133,3.1015,4.6446,5.1166
教育別=專科,9.6193,14.118,9.6359,11.2932,20.6857,25.7274,18.6088,23.2083,0.3959,3.7244,1.5696,1.7501
教育別=大學,6.0331,5.1104,4.5632,4.7784,11.5749,10.9831,9.4074,9.1338,0.6784,0.2364,0.6353,0.8283
教育別=研究所及以上,4.241,4.6327,2.281,1.5453,6.454,7.3691,3.5339,2.7778,0.5407,0.9673,0,0
縣市別=新北市,17.4529,14.3056,16.7868,19.108,32.5179,22.4555,27.4658,33.129,3.1181,6.8389,6.3144,5.3761
縣市別=宜蘭縣,14.5603,14.0137,10.8177,14.705,20.9234,26.0875,19.5644,24.9662,7.734,1.922,1.4942,3.7609
縣市別=桃園縣,16.3438,16.6442,17.2089,10.5084,28.7128,32.686,30.5495,18.3185,2.8951,1.6814,3.6823,3.1531
縣市別=新竹縣,10.6473,15.1438,14.3947,16.1976,20.5386,25.6363,26.6313,28.3505,0.5099,4.2385,1.3048,4.1103
縣市別=苗栗縣,14.6736,16.9893,19.7763,17.1208,24.8666,31.6778,35.7621,29.6103,3.4093,1.5291,2.4907,3.2314
縣市別=原臺中縣,15.3846,15.1373,17.6716,12.8912,29.2606,27.4405,33.1181,24.46,1.6168,2.4165,1.4409,1.9423
縣市別=彰化縣,13.4209,14.4393,12.3497,16.123,25.315,27.4368,23.1085,26.4701,1.2243,1.6661,0.6924,5.2221
縣市別=南投縣,15.8909,14.5065,18.7415,19.8872,28.2631,26.7915,34.6256,36.3697,2.5089,2.009,1.2083,3.5393
縣市別=雲林縣,15.1617,14.0781,12.6508,18.438,28.8174,26.2259,23.562,32.6617,0.4642,0.9763,1.0029,2.3045
縣市別=嘉義縣,14.8424,11.7587,14.7777,14.1003,26.6024,21.1028,27.534,26.4942,2.4668,1.7964,1.3588,0.0145
縣市別=原臺南縣,11.848,16.7389,14.376,13.2152,23.0321,30.0248,26.878,24.0725,0.4006,3.548,1.3453,2.5252
縣市別=原高雄縣,15.9603,12.5617,10.238,12.1428,31.2843,23.9457,15.7356,21.0281,0.7608,1.2592,4.3099,2.8854
縣市別=屏東縣,15.43,11.5366,16.5404,11.3172,28.0886,22.5114,30.6993,18.4824,2.4613,0.5539,1.0065,3.9123
縣市別=臺東縣,15.641,17.0488,15.5967,13.1919,25.1522,28.2703,21.7995,20.1994,4.8896,4.6101,8.6291,4.9336
縣市別=花蓮縣,16.6401,19.5647,13.5768,14.8367,27.4382,26.7559,23.7404,26.5207,4.1878,11.5603,1.9894,2.4327
縣市別=澎湖縣,16.6599,17.6548,11.8065,10.7247,29.5767,33.3682,21.2998,20.0074,2.8046,1.0955,1.3841,1.2694
縣市別=基隆市,17.4403,19.3255,19.3212,19.1977,28.9317,34.4006,31.2566,35.433,5.6689,4.6034,7.1197,3.1092
縣市別=新竹市,13.4738,16.5324,8.3717,17.2954,24.2708,26.2262,13.3327,26.6002,2.5029,6.5432,3.2473,7.9533
縣市別=原臺中市,12.3269,14.3143,13.7,10.7178,24.5131,24.5526,27.2398,19.7903,0.9912,5.6161,1.1074,2.3644
縣市別=嘉義市,13.1074,15.1348,10.6419,13.1431,25.5594,28.646,20.0358,24.6718,0.854,2.554,1.6815,2.8388
縣市別=原臺南巿,13.0045,9.8961,12.0589,12.9498,23.9991,19.5427,17.2615,23.8293,1.8831,1.115,6.8688,2.2223
縣市別=金門縣,8.9545,13.1581,5.8243,11.5627,17.8163,24.1658,11.161,20.9215,0.0217,2.1883,0.7049,1.4696
縣市別=連江縣,12.7922,8.8181,11.9275,14.3781,23.743,15.7342,22.0256,23.9927,0.3098,0,0.6476,3.5121
縣市別=臺北市,15.8007,9.7208,14.5184,12.6663,32.0801,18.0314,23.3208,22.7957,1.114,1.8512,6.3661,3.3083
縣市別=原高雄市,14.2449,12.9579,12.0201,9.2561,25.2097,23.1657,21.9721,15.992,3.2255,3.1532,2.6956,2.4987
縣市別=臺中市,14.5914,14.8927,15.977,12.1748,28.5224,26.7131,31.3446,22.8385,1.3047,3.3788,1.3228,2.337
縣市別=臺南市,12.2583,14.5615,13.2953,13.5409,23.4186,27.2543,23.3133,24.5916,0.9843,2.4573,3.5607,2.5963
縣市別=高雄市,15.2104,13.3929,11.1688,10.498,27.6143,24.8019,18.8014,18.1465,2.3494,2.4273,3.646,2.787
