年度,分析項目,整體吸菸者完訪樣本數(人),整體吸菸者平均吸菸支數之平均值(支),整體吸菸者平均吸菸支數之標準差(支),男性吸菸者完訪樣本數(人),男性吸菸者平均吸菸支數之平均值(支),男性吸菸者平均吸菸支數之標準差(支),女性吸菸者完訪樣本數(人),女性吸菸者平均吸菸支數之平均值(支),女性吸菸者平均吸菸支數之標準差(支)
民國103年,整體,2752,16.50848,14.49604,2493,17.04739,14.63812,259,12.0916,11.56775
民國103年,教育程度別1=小學及以下,366,16.79663,19.57775,324,17.36977,20.20936,42,12.83464,12.43687
民國103年,教育程度別1=初中、國中,453,18.49063,19.16472,398,19.16069,19.29644,55,14.56068,16.79034
民國103年,教育程度別1=高中、高職,1110,15.88168,12.44416,994,16.36543,12.6825,116,10.86988,8.4999
民國103年,教育程度別1=專科,361,15.51706,13.866,341,16.48425,13.67846,20,5.37647,7.94626
民國103年,教育程度別1=大學,389,12.28546,6.75761,366,12.56064,6.87736,23,6.02511,2.81751
民國103年,教育程度別1=研究所及以上,69,8.32863,4.95383,67,8.20629,5.01899,2,10,0
民國103年,教育程度別2=國中或以下,819,17.82892,19.37837,722,18.45159,19.74052,97,13.94382,15.04847
民國103年,教育程度別2=高中職,1110,15.88168,12.44416,994,16.36543,12.6825,116,10.86988,8.4999
民國103年,教育程度別2=大專或以上,819,14.35993,10.54755,774,15.06268,10.52734,45,5.6678,5.67549
民國103年,現住地縣市別=新北市,138,13.09559,11.15244,120,13.36971,11.55751,18,11.64866,7.94493
民國103年,現住地縣市別=宜蘭縣,102,20.42669,12.50343,97,20.59652,12.70606,5,11.90982,4.35824
民國103年,現住地縣市別=桃園縣,139,14.73847,11.55088,125,14.82068,12.00681,14,13.30108,6.28421
民國103年,現住地縣市別=新竹縣,110,20.96826,19.40488,98,23.245,19.03333,12,9.96789,11.97248
民國103年,現住地縣市別=苗栗縣,118,18.81681,14.67229,111,19.44957,14.53013,7,7.37899,9.28663
民國103年,現住地縣市別=原台中縣,122,18.61381,16.16949,110,19.26387,16.4387,12,10.48814,10.57996
民國103年,現住地縣市別=彰化縣,133,16.00988,13.47146,125,17.38584,12.87117,8,5.84318,11.23764
民國103年,現住地縣市別=南投縣,120,18.64782,20.13135,110,19.55749,20.61653,10,7.96116,4.77838
民國103年,現住地縣市別=雲林縣,130,20.3312,17.60271,125,20.33069,17.79828,5,20.34772,13.14149
